"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_8Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_8Dec2020_clean","V1_date_group","V1_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","max_follow_up_days","n_estimates"
"11",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14-69","hospitalization","severe","UK",">= 16 years","general pop",98.4,97.9,98.8,"delta","delta","~8 weeks",NA,NA,"UK","GBR",95,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,56,3
"12",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","140+","hospitalization","severe","UK",">= 16 years","general pop",92.7,90.3,94.6,"delta","delta","~33.5 weeks",NA,NA,"UK","GBR",95,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,234.5,3
"13",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","hospitalization","severe","Canada",">= 18 years","general pop",98,97,98,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",49140,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,3
"14",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14-27","hospitalization","severe","Canada",">= 18 years","general pop",98,95,99,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",49140,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,3
"15",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","196-223","hospitalization","severe","Canada",">= 18 years","general pop",94,87,97,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",49140,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,3
"16",151,"Collie","Test-negative case-control","29Dec2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","Hospitalization","severe","South Africa",">= 18 years","general pop",93,90,94,NA,"delta","~19 weeks",NA,NA,"South Africa","ZAF",151,"ZAF",14080,2019,"South Africa","Sub-Saharan Africa","Upper middle income",2,"Africa",2021-02-19,NA,NA,2021-02-17,2021-02-17,2,71,NA,NA,71,"feb/2021","60-89","not reached","not reached","yes","no","no",2021-12-29,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,133,1
"17",165,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","7+","hospitalization","severe","USA","hospital admissions","general pop",76,69,82,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-22,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,3
"18",166,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","7 to <3 months","hospitalization","severe","USA","hospital admissions","general pop",78,55,89,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-22,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,3
"19",167,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">=9 months","hospitalization","severe","USA","hospital admissions","general pop",73,58,83,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-22,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,3
"20",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","intubation","severe","Greece","15-59 years","15-59 years",98.1,97.5,98.6,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6
"21",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","intubation","severe","Greece","15-59 years","15-59 years",95.5,94.3,96.5,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6
"22",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","intubation","severe","Greece","60-79 years","60-79 years",96.7,95.9,97.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6
"23",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","intubation","severe","Greece","60-79 years","60-79 years",92,91,92.9,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6
"24",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","intubation","severe","Greece",">= 80 years",">= 80 years",94.2,92,95.7,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6
"25",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","intubation","severe","Greece",">= 80 years",">= 80 years",85.9,83.5,88,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6
"26",178,"Lauring","Test-negative case-control","09Mar2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","hospitalization","severe","USA",">= 18 years","general pop",82,80,84,"delta","delta","~27 weeks",NA,NA,"USA","USA",178,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-03-09,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,189,1
"27",194,"Smid","Retrospective cohort","15Oct2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14-74","hospitalization","severe","Czech Republic","all ages","general pop",80,72,85,NA,"delta","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe",2020-12-27,2021-07-16,NA,2020-12-23,2020-12-23,4,15,205,NA,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","no",2022-10-15,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,378,2
"28",194,"Smid","Retrospective cohort","15Oct2022","BNT162b2 (Pfizer BioNTech)","included","2","final","135+","hospitalization","severe","Czech Republic","all ages","general pop",82,77,86,NA,"delta","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe",2020-12-27,2021-07-16,NA,2020-12-23,2020-12-23,4,15,205,NA,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","no",2022-10-15,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,378,2
"29",203,"Baum","Retrospective cohort","05Nov2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14-90","hospitalization","severe","Finland",">= 70 years",">= 70 years",90,78,96,NA,"delta","~48.5 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe",2021-01-17,2021-08-15,2021-10-31,2020-12-23,2020-12-23,25,15,235,312,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-11-05,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,339.5,2
"30",203,"Baum","Retrospective cohort","05Nov2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","181+","hospitalization","severe","Finland",">= 70 years",">= 70 years",79,71,84,NA,"delta","~48.5 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe",2021-01-17,2021-08-15,2021-10-31,2020-12-23,2020-12-23,25,15,235,312,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-11-05,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,339.5,2
"31",218,"Starrfelt","Retrospective cohort","30Mar2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","2-9 weeks","hospitalization","severe","Norway",">= 18 years","general pop",97.5,95.6,98.6,NA,"delta","~7 weeks",NA,NA,"Norway","NOR",218,"NOR",71400,2019,"Norway","Europe & Central Asia","High income",4,"Europe",2020-12-28,2021-08-12,2021-11-18,2020-12-23,2020-12-23,5,15,232,330,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-03-30,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,49,2
"32",218,"Starrfelt","Retrospective cohort","30Mar2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">33 weeks","hospitalization","severe","Norway",">= 18 years","general pop",63.9,54.3,71.5,NA,"delta","~43 weeks",NA,NA,"Norway","NOR",218,"NOR",71400,2019,"Norway","Europe & Central Asia","High income",4,"Europe",2020-12-28,2021-08-12,2021-11-18,2020-12-23,2020-12-23,5,15,232,330,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-03-30,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,301,2
"33",230,"Plumb","Test-negative case-control","12Apr2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","hospitalization","severe","USA","hospitalized adults","general pop",50,39,59,NA,"delta","~55 weeks",NA,NA,"USA","USA",230,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,385,1
"34",235,"Voko","Retrospective cohort","22Jul2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14-120","hospitalization","severe","Hungary","18-64 years","18-64 years",82.6,80.1,84.7,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",33630,2019,"Hungary","Europe & Central Asia","High income",4,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,15,164,NA,15,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","no",2022-07-22,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,2
"35",235,"Voko","Retrospective cohort","22Jul2022","BNT162b2 (Pfizer BioNTech)","included","2","final","240+","hospitalization","severe","Hungary","18-64 years","18-64 years",69.6,64.9,73.6,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",33630,2019,"Hungary","Europe & Central Asia","High income",4,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,15,164,NA,15,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","no",2022-07-22,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,2
"36",310,"Penayo","Test-negative case-control","01Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",91.9,72.2,97.6,NA,"delta","~38 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America",2021-02-23,2021-12-10,NA,2021-02-22,2021-02-22,1,76,291,NA,76,"feb/2021","60-89","Dec/2021 +","270-359","yes","yes","no",2022-06-01,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,1
"37",311,"Monge","Case cohort","02Sept2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","hospitalization","severe","Spain","50-59 years","50-59 years",97,97,98,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",43160,2019,"Spain","Europe & Central Asia","High income",4,"Europe",2021-01-04,2021-07-04,2021-08-31,2020-12-30,2020-12-30,5,22,186,244,22,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-09-02,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,147,1
"38",315,"Chatzilena","Test-negative case-control","07Dec2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","7+","hospitalization","severe","UK",">=18 years","general pop",82.5,76.2,87.2,NA,"delta","~56 weeks",NA,NA,"UK","GBR",315,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-12-07,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,392,3
"39",315,"Chatzilena","Test-negative case-control","07Dec2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">=3 months","hospitalization","severe","UK",">=18 years","general pop",91.5,83.1,96.2,NA,"delta","~56 weeks",NA,NA,"UK","GBR",315,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-12-07,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,392,3
"40",315,"Chatzilena","Test-negative case-control","07Dec2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">3 months","hospitalization","severe","UK",">=18 years","general pop",79.5,71.5,85.3,NA,"delta","~56 weeks",NA,NA,"UK","GBR",315,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-12-07,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,392,3
"41",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~25 weeks","hospitalization","severe","USA",">=5 years","general pop",85.8,83.4,87.8,NA,"delta","~25 weeks",NA,"Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,175,2
"42",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~38 weeks","hospitalization","severe","USA",">=5 years","general pop",70.9,65.3,75.6,NA,"delta","~38 weeks",NA,"Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,2
"43",336,"Embi","Test-negative case-control","22May2023","BNT162b2 (Pfizer BioNTech)","included","2","final","14-149","hospitalization with COVID-like illness","severe","USA","immunocompetent adults >=18 years","immunocompetent adults",90,88,91,NA,"delta","~46 weeks",NA,NA,"USA","USA",336,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2023-05-22,"severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,322,2
"44",336,"Embi","Test-negative case-control","22May2023","BNT162b2 (Pfizer BioNTech)","included","2","final","150+","hospitalization with COVID-like illness","severe","USA","immunocompetent adults >=18 years","immunocompetent adults",80,79,82,NA,"delta","~46 weeks",NA,NA,"USA","USA",336,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2023-05-22,"severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,322,2
