"","Study_id_f","first author","publication_date","semester","study design","population_category","historyofCOVID","country_clean","Country.Code","continent","Income group","GNI_per_c_WB","year_GNI","variant_clean","clean_vaccine","vac_type","dose_number","timing_of_dose_days","outcome_final","min_period_days","max_period_days","min_vac_intro","owid_vac_F40","owid_vac_F70","VE","LCL","UCL","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"36",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,92,39,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","Moderna mRNA-1273","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","Moderna mRNA-1273","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,59,-77,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","Moderna mRNA-1273","mRNA","2","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,84,-13,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"beta","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,61,-64,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","BioNTech/Pfizer BNT162b2","mRNA","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,63,54,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","BioNTech/Pfizer BNT162b2","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,90,76,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","BioNTech/Pfizer BNT162b2","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,80,70,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,94,59,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Moderna mRNA-1273","mRNA","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,89,76,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Moderna mRNA-1273","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Moderna mRNA-1273","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,88,63,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Moderna mRNA-1273","mRNA","2","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,41,12,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,76,40,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"gamma","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,57,53,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,92,89,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,81,76,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",14,196,2020-12-14,2021-07-09,2021-09-28,98,96,99,"yes",NA,0,98,96,99,0.02,0.01,0.04,-3.91202300542815,0.35364652069385
"59",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Moderna mRNA-1273","mRNA","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,70,64,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Moderna mRNA-1273","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,94,90,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Moderna mRNA-1273","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,90,82,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Moderna mRNA-1273","mRNA","2","14+","severe",14,175,2020-12-14,2021-07-09,2021-09-28,98,93,100,"yes",NA,0,98,93,99.9,0.02,0.00099999999999989,0.07,-3.91202300542815,1.08379980664527
"63",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,68,57,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,88,68,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,91,82,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",49140,2019,"delta","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","severe",14,21,2020-12-14,2021-07-09,2021-09-28,90,67,97,"yes",NA,0,90,67,97,0.1,0.03,0.33,-2.30258509299405,0.611707977754686
"67",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","1","14+","infection",NA,NA,2021-01-28,2021-05-31,2021-08-16,42.8,18.2,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","infection",NA,NA,2021-01-28,2021-05-31,2021-08-16,50.6,45.4,55.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","Moderna mRNA-1273","mRNA","1","14+","infection",NA,NA,2021-01-28,2021-05-31,2021-08-16,73.2,57.3,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","Moderna mRNA-1273","mRNA","2","14+","infection",NA,NA,2021-01-28,2021-05-31,2021-08-16,72,66.1,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","1","14+","severe",NA,NA,2021-01-28,2021-05-31,2021-08-16,84.5,-25.2,98.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",14,175,2021-01-28,2021-05-31,2021-08-16,94.1,85.9,97.6,"yes",NA,0,94.1,85.9,97.6,0.0590000000000001,0.024,0.141,-2.83021783507642,0.451710729599546
"73",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","Moderna mRNA-1273","mRNA","1","14+","severe",NA,NA,2021-01-28,2021-05-31,2021-08-16,87.5,23.4,95.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","Moderna mRNA-1273","mRNA","2","14+","severe",14,175,2021-01-28,2021-05-31,2021-08-16,96.1,71.4,99.5,"yes",NA,0,96.1,71.4,99.5,0.039,0.005,0.286,-3.24419363285249,1.03228415775147
"75",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","1","14+","symptomatic",NA,NA,2021-01-28,2021-05-31,2021-08-16,56.2,30.6,72.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","symptomatic",NA,NA,2021-01-28,2021-05-31,2021-08-16,44.4,37,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","Moderna mRNA-1273","mRNA","1","14+","symptomatic",NA,NA,2021-01-28,2021-05-31,2021-08-16,82.5,65.2,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",74,"Tang",2021-11-02,"2021 (Jul-Dec)","Test-negative case-control","general pop","included","Qatar","QAT","Asia","High income",92300,2019,"delta","Moderna mRNA-1273","mRNA","2","14+","symptomatic",NA,NA,2021-01-28,2021-05-31,2021-08-16,73.9,65.9,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
