"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID ","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_8Dec2020","diff_intro_F40","diff_intro_F70","owid_who","diff_min_vac_intro_8Dec2020_clean","V1_date_group","V1_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","earliest_date","min_pub_date"
"11",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","1","1","14-21","severe disease","severe","Israel","general pop","general pop",62,"39",80,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"12",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","severe disease","severe","Israel","general pop","general pop",92,"75",100,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"13",4,"Hyams","Test-negative case-control","01Nov2021","BNT162b2 (Pfizer BioNTech)","included","1","1",">14","hospitalization","severe","UK"," > 80 years"," > 80 years",79,"47",93,NA,"alpha",NA,NA,NA,"UK","GBR",4,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-11-01,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-11-01
"14",4,"Hyams","Test-negative case-control","01Nov2021","AZD1222 (AstraZeneca)","included","1","1",">14","hospitalization","severe","UK"," > 80 years"," > 80 years",80,"36",95,NA,"alpha",NA,NA,NA,"UK","GBR",4,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-11-01,"severe","2021 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha",NA,2021-11-01
"15",5,"Mousten-Helms","Retrospective cohort","09Mar2021","BNT162b2 (Pfizer BioNTech)","excluded","1","1",">14","infection ","infection","Denmark","LTCF residents","LTCF residents",21,"-11",44,NA,"original & alpha",NA,NA,NA,"Denmark","DNK",5,"DNK",61830,2019,"Denmark","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-16,2021-09-03,2020-12-16,2020-12-16,16,8,212,261,"who",8,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2021-03-09,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-03-09
"16",5,"Mousten-Helms","Retrospective cohort","09Mar2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","infection ","infection","Denmark","LTCF residents","LTCF residents",64,"14",84,NA,"original & alpha",NA,NA,NA,"Denmark","DNK",5,"DNK",61830,2019,"Denmark","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-16,2021-09-03,2020-12-16,2020-12-16,16,8,212,261,"who",8,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2021-03-09,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-03-09
"17",5,"Mousten-Helms","Retrospective cohort","09Mar2021","BNT162b2 (Pfizer BioNTech)","excluded","1","1",">14","infection ","infection","Denmark","LTCF staff","LTCF staff",17,"4",28,NA,"original & alpha",NA,NA,NA,"Denmark","DNK",5,"DNK",61830,2019,"Denmark","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-16,2021-09-03,2020-12-16,2020-12-16,16,8,212,261,"who",8,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2021-03-09,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-03-09
"18",5,"Mousten-Helms","Retrospective cohort","09Mar2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","infection ","infection","Denmark","LTCF staff","LTCF staff",90,"82",95,NA,"original & alpha",NA,NA,NA,"Denmark","DNK",5,"DNK",61830,2019,"Denmark","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-16,2021-09-03,2020-12-16,2020-12-16,16,8,212,261,"who",8,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2021-03-09,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-03-09
"19",6,"Tande","Retrospective cohort","11Mar2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","included","1+","1+",">10 including some with dose 2","asymptomatic infection","asymptomatic","USA","pre-surgical hospital patients","pre-surgical hospital patients",79,"63",88,NA,"original",NA,NA,NA,"USA","USA",6,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-11,"infection","2021 (Jan-Jun)","Multiple or heterologous RNA","mRNA","original",NA,2021-03-11
"20",6,"Tande","Retrospective cohort","11Mar2021","BNT162b2 (Pfizer BioNTech)","included","2","final",">0","asymptomatic infection","asymptomatic","USA","pre-surgical hospital patients","pre-surgical hospital patients",80,"56",91,NA,"original",NA,NA,NA,"USA","USA",6,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-11,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","original",NA,2021-03-11
"21",6,"Tande","Retrospective cohort","11Mar2021","BNT162b2 (Pfizer BioNTech)","included","1","1",">10","asymptomatic infection","asymptomatic","USA","pre-surgical hospital patients","pre-surgical hospital patients",79,"62",89,NA,"original",NA,NA,NA,"USA","USA",6,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-11,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","original",NA,2021-03-11
"22",6,"Tande","Retrospective cohort","11Mar2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","included","2","final",">0","asymptomatic infection","asymptomatic","USA","pre-surgical hospital patients","pre-surgical hospital patients",80,"56",91,NA,"original",NA,NA,NA,"USA","USA",6,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-11,"infection","2021 (Jan-Jun)","Multiple or heterologous RNA","mRNA","original",NA,2021-03-11
"23",7,"Britton","Retrospective cohort","15Mar2021","BNT162b2 (Pfizer BioNTech)","stratified","1+","1+",">14 including some up to day 7 post dose 2","infection ","infection","USA","LTCF residents","LTCF residents",63,"33",79,NA,"original",NA,NA,NA,"USA","USA",7,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-15,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","original",NA,2021-03-15
"24",7,"Britton","Retrospective cohort","15Mar2021","BNT162b2 (Pfizer BioNTech)","stratified","1+","1+",">14 including some up to day 7 post dose 2","infection ","infection","USA","LTCF residents","LTCF residents",60,"30",77,NA,"original",NA,NA,NA,"USA","USA",7,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-15,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","original",NA,2021-03-15
"25",8,"Yelin","Retrospective cohort","17Mar2021","BNT162b2 (Pfizer BioNTech)","excluded","1+","1+",">35, most with dose 2","infection ","infection","Israel","general pop","general pop",91,"89",93,NA,"alpha",NA,NA,NA,"Israel","ISR",8,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-17,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-03-17
"26",8,"Yelin","Retrospective cohort","17Mar2021","BNT162b2 (Pfizer BioNTech)","excluded","1+","1+",">35, most with dose 2","symptomatic disease","symptomatic","Israel","general pop","general pop",99,"95",99,NA,"alpha",NA,NA,NA,"Israel","ISR",8,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-17,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-03-17
"27",9,"Public Health England","Test-negative case-control","17Mar2021","BNT162b2 (Pfizer BioNTech)","unknown","1","1",">28","symptomatic disease","symptomatic","UK","> 70 years","> 70 years",58,"49",65,NA,"alpha",NA,NA,NA,"UK","GBR",9,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-03-17,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-03-17
"28",9,"Public Health England","Test-negative case-control","17Mar2021","AZD1222 (AstraZeneca)","unknown","1","1",">35","symptomatic disease","symptomatic","UK","> 70 years","> 70 years",58,"38",72,NA,"alpha",NA,NA,NA,"UK","GBR",9,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-03-17,"symptomatic","2021 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha",NA,2021-03-17
"29",9,"Public Health England","Retrospective cohort","17Mar2021","BNT162b2 (Pfizer BioNTech)","included","1","1",">14","hospitalization","severe","UK","> 70 years","> 70 years",42,"32",51,NA,"alpha",NA,NA,NA,"UK","GBR",9,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-03-17,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-03-17
"30",9,"Public Health England","Retrospective cohort","17Mar2021","BNT162b2 (Pfizer BioNTech)","included","1","1",">14","death","death","UK","> 70 years","> 70 years",54,"41",64,NA,"alpha",NA,NA,NA,"UK","GBR",9,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-03-17,"death","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-03-17
"31",9,"Public Health England","Retrospective cohort","17Mar2021","AZD1222 (AstraZeneca)","included","1","1","14-21","hospitalization","severe","UK","> 70 years","> 70 years",35,"4",56,NA,"alpha",NA,NA,NA,"UK","GBR",9,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-03-17,"severe","2021 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha",NA,2021-03-17
"32",10,"Shrotri","Prospective cohort","23Jun2021","BNT162b2 (Pfizer BioNTech)","stratified","1","1","35-48","infection ","infection","UK","LTCF residents","LTCF residents",65,"29",83,NA,"original & alpha",NA,NA,NA,"UK","GBR",10,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-06-23,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-06-23
"33",10,"Shrotri","Prospective cohort","23Jun2021","AZD1222 (AstraZeneca)","stratified","1","1","35-48","infection ","infection","UK","LTCF residents","LTCF residents",68,"34",85,NA,"original & alpha",NA,NA,NA,"UK","GBR",10,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-06-23,"infection","2021 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","other combinations",NA,2021-06-23
"34",11,"Thompson","Prospective cohort","29Mar2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","1","1",">14","infection ","infection","USA","HCW","HCW",80,"59",90,NA,"original",NA,NA,NA,"USA","USA",11,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-29,"infection","2021 (Jan-Jun)","Multiple or heterologous RNA","mRNA","original",NA,2021-03-29
"35",11,"Thompson","Prospective cohort","29Mar2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","2","final",">14","infection ","infection","USA","HCW","HCW",90,"68",97,NA,"original",NA,NA,NA,"USA","USA",11,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-29,"infection","2021 (Jan-Jun)","Multiple or heterologous RNA","mRNA","original",NA,2021-03-29
"36",12,"Bouton","Prospective cohort","30Mar2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","included","1+","1+",">14 including some with dose 2","infection ","infection","USA","HCW","HCW",82,"68",90,NA,"original",NA,NA,NA,"USA","USA",12,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-03-30,"infection","2021 (Jan-Jun)","Multiple or heterologous RNA","mRNA","original",NA,2021-03-30
"37",13,"Regev-Yochay","Prospective cohort","07Jul2021","BNT162b2 (Pfizer BioNTech)","included","2","final",">11","asymptomatic infection","asymptomatic","Israel","HCW","HCW",65,"45",79,NA,"alpha",NA,NA,NA,"Israel","ISR",13,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-07,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","09/04/2021",2021-04-09
"38",13,"Regev-Yochay","Prospective cohort","07Jul2021","BNT162b2 (Pfizer BioNTech)","included","2","final",">11","asymptomatic infection (presumed infectious ct<30)","asymptomatic","Israel","HCW","HCW",70,"43",84,NA,"alpha",NA,NA,NA,"Israel","ISR",13,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-07,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","09/04/2021",2021-04-09
"39",13,"Regev-Yochay","Prospective cohort","07Jul2021","BNT162b2 (Pfizer BioNTech)","included","2","final",">11","symptomatic disease","symptomatic","Israel","HCW","HCW",90,"84",94,NA,"alpha",NA,NA,NA,"Israel","ISR",13,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-07,"symptomatic","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","09/04/2021",2021-04-09
"40",13,"Regev-Yochay","Prospective cohort","07Jul2021","BNT162b2 (Pfizer BioNTech)","included","2","final",">11","symptomatic disease  (presumed infectious ct<30)","symptomatic","Israel","HCW","HCW",88,"80",94,NA,"alpha",NA,NA,NA,"Israel","ISR",13,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-07,"symptomatic","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","09/04/2021",2021-04-09
"41",14,"Andrejko","Test-negative case-control","20Jul2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","1","1",">=15","infection ","infection","USA","general pop","general pop",66.9,"28.7",84.6,NA,"B.1.427/ B.1.429 & alpha",NA,NA,NA,"USA","USA",14,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-20,"infection","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations","25/05/2021",2021-05-25
"42",14,"Andrejko","Test-negative case-control","20Jul2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","2","final",">=15","infection ","infection","USA","general pop","general pop",87.4,"77.2",93.1,NA,"B.1.427/ B.1.429 & alpha",NA,NA,NA,"USA","USA",14,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-20,"infection","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations","25/05/2021",2021-05-25
"43",14,"Andrejko","Test-negative case-control","20Jul2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","2","final",">=15","asymptomatic infection","asymptomatic","USA","general pop","general pop",68.3,"27.9",85.7,NA,"B.1.427/ B.1.429 & alpha",NA,NA,NA,"USA","USA",14,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-20,"infection","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations","25/05/2021",2021-05-25
"44",14,"Andrejko","Test-negative case-control","20Jul2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","2","final",">=15","symptomatic disease","symptomatic","USA","general pop","general pop",91.3,"79.3",96.3,NA,"B.1.427/ B.1.429 & alpha",NA,NA,NA,"USA","USA",14,"USA",66120,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,"owid",5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-07-20,"symptomatic","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations","25/05/2021",2021-05-25
